season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2010,2010/10/27,Abu Dhabi,Pakistan ,South Africa,South Africa,Pakistan ,bat,,6
2010,2010/10/31,Perth,Australia ,Sri Lanka,Sri Lanka,Australia ,bat,,7
2010,2010/12/26,Auckland,New Zealand, Pakistan,New Zealand,New Zealand,field,,5
2010,2010/12/28,Hamilton,New Zealand,Pakistan,New Zealand,Pakistan,field,39,
2010,2010/12/30,Christchurch,New Zealand,Pakistan,Pakistan,Pakistan,bat,103,
2011,2011/01/09,Durban,South Africa, India, India, India,bat,21,
2011,2011/01/12,Adelaide,Australia ,England,England,Australia ,bat,,1
2011,2011/01/14,Melbourne,Australia , England,Australia ,Australia ,bat,4,
2011,2011/04/21,Gros Islet,West Indies, Pakistan,West Indies,West Indies,bat,7,
2011,2011/06/04,Port of Spain,West Indies,India,India,West Indies,field,16,
2011,2011/06/25,Bristol,England ,Sri Lanka,Sri Lanka,Sri Lanka,field,,9
2011,2011/08/06,Pallekele,Sri Lanka ,Australia,Sri Lanka ,Sri Lanka ,bat,35,
2011,2011/08/08,Pallekele,Sri Lanka , Australia,Sri Lanka , Australia,bat,8,
2011,2011/08/31,Manchester,England , India, India, India,bat,,6
2011,2011/09/16,Harare,Zimbabwe , Pakistan, Pakistan,Zimbabwe ,field,85,
2011,2011/09/18,Harare,Zimbabwe , Pakistan, Pakistan, Pakistan,bat,5,
2011,2011/09/23,The Oval,England , West Indies,England ,England ,field,,
2011,2011/09/25,The Oval,England ,West Indies,England , West Indies,bat,25,
2011,2011/10/11,Dhaka,Bangladesh , West Indies,Bangladesh ,Bangladesh ,field,,3
2011,2011/10/13,Cape Town,South Africa, Australia, Australia,South Africa,bat,,5
2011,2011/10/15,Harare,Zimbabwe , New Zealand, New Zealand, New Zealand,field,,
2011,2011/10/16,Johannesburg,South Africa,Australia,South Africa,Australia,bat,,3
2011,2011/10/17,Harare,Zimbabwe ,New Zealand,New Zealand,Zimbabwe ,field,34,
2011,2011/10/29,Kolkata,India,India , England,India ,bat,,6
2011,2011/11/25,Abu Dhabi,Pakistan , Sri Lanka,Pakistan , Sri Lanka,bat,,5
2011,2011/11/29,Dhaka,Bangladesh ,Pakistan,Pakistan,Pakistan,bat,50,
2012,2012/02/01,Sydney,Australia, India,Australia, India,filed,31,
2012,2012/02/03,Melbourne,Australia, India, India,Australia,bat,,8
2012,2012/02/11,Auckland,New Zealand ,Zimbabwe,New Zealand ,Zimbabwe,bat,,7
2012,2012/02/14,Hamilton,New Zealand ,Zimbabwe,New Zealand ,Zimbabwe,bat,,5
2012,2012/02/17,Wellington,New Zealand , South Africa,New Zealand ,New Zealand ,bat,,6
2012,2012/02/19,Hamilton,New Zealand ,South Africa,South Africa,South Africa,field,,8
2012,2012/02/22,Mombasa,Kenya , Ireland, Ireland, Ireland,filed,,6
2012,2012/02/22,Auckland,New Zealand , South Africa, South Africa,New Zealand ,field,3,
2012,2012/02/23,Dubai (DSC),England ,Pakistan,Pakistan,England ,field,8,
2012,2012/02/23,Mombasa,Kenya ,Ireland,Ireland,Kenya,bat,,8
2012,2012/02/24,Mombasa,Kenya , Ireland, Ireland, Ireland,bat,2,
2012,2012/02/25,Dubai (DSC),England ,Pakistan,England ,England ,bat,38,
2012,2012/02/27,Abu Dhabi,England ,Pakistan,England ,England ,bat,5,
2012,2012/03/13,Dubai (DSC),Canada , Netherlands, Netherlands, Netherlands,bat,42,
2012,2012/03/13,ICCA Dubai,Kenya , Scotland, Scotland, Scotland,bat,14,
2012,2012/03/14,Dubai (DSC),Afghanistan , Netherlands,Afghanistan , Netherlands,bat,,4
2012,2012/03/14,Dubai (DSC),Ireland , Kenya,Ireland , Kenya,bat,,
2012,2012/03/18,ICCA Dubai,Afghanistan ,Canada,Afghanistan ,Afghanistan ,bat,41,
2012,2012/03/18,Dubai (DSC),Ireland , Scotland, Scotland, Scotland,bat,17,
2012,2012/03/22,Dubai (DSC),Canada , Ireland, Ireland,Canada ,bat,,
2012,2012/03/22,ICCA Dubai,Netherlands , Scotland,Netherlands , Scotland,bat,,3
2012,2012/03/23,Dubai (DSC),Canada , Scotland, Scotland,Canada ,bat,,4
2012,2012/03/23,Dubai (DSC),Ireland , Netherlands,Ireland ,Ireland ,field,,7
2012,2012/03/24,Dubai (DSC),Afghanistan , Ireland, Ireland,Afghanistan ,bat,,5
2012,2012/03/27,Gros Islet,West Indies , Australia, Australia,West Indies ,bat,,8
2012,2012/03/30,Johannesburg,South Africa ,India,India,India,bat,11,
2012,2012/03/30,Bridgetown,West Indies , Australia,West Indies ,West Indies ,bat,14,
2012,2012/06/01,Hambantota,Sri Lanka , Pakistan,Sri Lanka ,Sri Lanka ,bat,37,
2012,2012/06/03,Hambantota,Sri Lanka , Pakistan, Pakistan, Pakistan,bat,23,
2012,2012/06/24,Nottingham,England , West Indies, West Indies, West Indies,bat,,7
2012,2012/06/30,Lauderhill,New Zealand , West Indies, West Indies,New Zealand ,field,56,
2012,2012/07/01,Lauderhill,New Zealand , West Indies, West Indies, West Indies,bat,61,
2012,2012/07/18,Belfast,Ireland ,Bangladesh,Bangladesh,Ireland ,field,71,
2012,2012/07/20,Belfast,Ireland , Bangladesh, Bangladesh, Bangladesh,bat,1,
2012,2012/07/21,Belfast,Ireland , Bangladesh, Bangladesh,Ireland ,bat,,2
2012,2012/07/24,The Hague,Bangladesh , Scotland, Scotland, Scotland,bat,34,
2012,2012/07/25,The Hague,Netherlands , Bangladesh, Bangladesh,Netherlands ,bat,,8
2012,2012/07/26,The Hague,Netherlands , Bangladesh,Netherlands , Bangladesh,bat,,1
2012,2012/08/07,Pallekele,Sri Lanka ,India,India,Sri Lanka ,field,39,
2012,2012/09/05,Dubai (DSC),Australia, Pakistan, Pakistan, Pakistan,field,,7
2012,2012/09/07,Dubai (DSC),Australia, Pakistan,, Pakistan,bat,-,-
2012,2012/09/08,Chester-le-Street,England , South Africa, South Africa, South Africa,field,,7
2012,2012/09/08,Visakhapatnam,India , New Zealand,,,,-,-
2012,2012/09/10,Dubai (DSC),Australia, Pakistan,Australia, Pakistan,field,94,
2012,2012/09/10,Manchester,England ,South Africa,,England ,field,-,-
2012,2012/09/11,Chennai,India ,New Zealand,New Zealand,India ,field,1,
2012,2012/09/12,Birmingham,England ,South Africa,England ,South Africa,field,28,
2012,2012/09/18,Hambantota,Sri Lanka , Zimbabwe,Sri Lanka , Zimbabwe,field,82,
2012,2012/09/19,Colombo (RPS),Afghanistan , India, India,Afghanistan ,field,23,
